"INSTNM","YEAR","LOCALE2","STABBR","ACCREDAGENCY","REGION","CONTROL","LOCALE","MAIN","ADM_RATE","UGDS","COSTT4_A","HBCU","MN_EARN_WNE_P10","MD_EARN_WNE_P10","MN_EARN_WNE_MALE0_P10","MN_EARN_WNE_MALE1_P10","MN_EARN_WNE_P6","MD_EARN_WNE_P6","MN_EARN_WNE_MALE0_P6","MN_EARN_WNE_MALE1_P6","DEBT_MDN_SUPP","GRAD_DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","TUITIONFEE_OUT","TUITIONFEE_IN"
"Lamar State College-Orange",2025,"03 Town","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","31","Main","NA","1426","7609","0","34600","36587","30400","48400","31600","35553","27000","47100","8125","10959","0.4062909567","0.3511777302","0.5","0.48","NA","NA","NA","13824","2832"
"Lamar State College-Port Arthur",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","13","Main","NA","1455","11281","0","36700","37120","30400","53300","27100","29746","25200","31800","7125","13250","0.3130287648","0.2634408602","0.3684210526","0.4626865672","NA","NA","NA","8070","1770"
"Laredo College",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","NA","5086","11323","0","35600","33934","29400","42300","29400","27435","23400","35500","2334","PS","0.418699187","0.3610223642","0.519379845","0.52","0.335","NA","NA","5748","3300"
"Texas A & M International University",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","11","Main","0.4596","6502","14767","0","46700","48386","41900","54900","36000","37327","33500","40000","11000","15000","0.5344603381","0.4947780679","0.5921985816","0.6682464455","0.4918","0.5088","0.7627","19382","7846"
"Lee College",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","13","Main","NA","5118","12050","0","43100","42178","33900","62400","35300","37219","28900","47000","5813","7500","0.377593361","0.3385490754","0.4315789474","0.6197183099","NA","NA","NA","4302","2166"
"LeTourneau University",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","13","Main","0.4068","1510","48206","0","56800","57103","48100","70000","47300","51058","40700","56200","19000","26000","0.5745762712","0.4490106545","0.5851528384","0.7511737089","0.6387","0.6084","0.7876","35500","35500"
"Lincoln College of Technology-Grand Prairie",2025,"02 Suburb","TX","Accrediting Commission of Career Schools and Colleges",6,"Private for-profit","21","Other","NA","1330","not_reported","0","38200","46396","25000","38800","30900","42500","20500","31300","9524","11730","0.407195572","0.3033531808","0.5053831539","0.6784615385","NA","NA","NA","NA","NA"
"Lubbock Christian University",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","11","Main","0.7319","1210","40493","0","50500","53787","41400","62100","38700","46464","37500","40200","15750","20948","0.5917986952","0.4533678756","0.6259541985","0.7278911565","0.4873","0.4638","0.726","27298","27298"
"College of the Mainland",2025,"01 City","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Public","13","Main","NA","3342","8014","0","38100","39639","31900","50000","34400","36164","30600","42600","5156","5960","0.2849604222","0.2384615385","0.3815789474","0.3953488372","0.2711","NA","NA","3873","1773"
"University of Mary Hardin-Baylor",2025,"02 Suburb","TX","Southern Association of Colleges and Schools Commission on Colleges",6,"Private nonprofit","22","Main","0.9512","2959","45235","0","48700","56132","43100","58000","38600","48368","38000","39400","15750","26000","0.5804560261","0.4424460432","0.5854126679","0.7423580786","0.5164","0.5276","0.6604","33150","33150"
