"Year","INSTNM","STABBR","REGION","ADM_RATE","UGDS","COSTT4_A","MD_EARN_WNE_P10","MD_EARN_WNE_P6","DEBT_MDN_SUPP","RPY_3YR_RT_SUPP","LO_INC_RPY_3YR_RT_SUPP","MD_INC_RPY_3YR_RT_SUPP","HI_INC_RPY_3YR_RT_SUPP","C150_4_POOLED_SUPP","C200_4_POOLED_SUPP","RET_FT4_POOLED_SUPP","isNCF"
"2020","Marian University","WI",3,0.6504,1417,"38180",41700,39900,"16743",0.611165524,0.4077134986,0.7040816327,0.7518796992,0.5025,0.4448,0.6688,FALSE
"2020","Marquette University","WI",3,0.8166,8200,"54851",62600,50600,"21261",0.7973447872,0.6312997347,0.7774687065,0.8498293515,0.8243,0.8054,0.8822,FALSE
"2020","Medical College of Wisconsin","WI",3,,,"not reported",250000,,"-999",,,,,,,,FALSE
"2020","Mid-State Technical College","WI",3,,2133,"13913",33400,28100,"5750",0.4997128087,0.3978174603,0.6162790698,0.6958525346,,,,FALSE
"2020","Milwaukee Area Technical College","WI",3,,13906,"13444",31100,26500,"6991",0.3401006109,0.252097483,0.4972288203,0.580674567,,,,FALSE
"2020","Milwaukee Institute of Art & Design","WI",3,0.6401,753,"46529",33300,26600,"20700",0.5732984293,0.4684684685,0.5939849624,0.6376811594,0.5133,0.5785,0.7784,FALSE
"2020","Milwaukee School of Engineering","WI",3,0.6311,2582,"51009",71300,61000,"25000",0.8333333333,0.7004219409,0.8532338308,0.8791423002,0.7039,0.6584,0.8592,FALSE
"2020","Moraine Park Technical College","WI",3,,2919,"13588",34600,31400,"6853",0.5343693963,0.4256594724,0.6285714286,0.6702508961,,,,FALSE
"2020","Mount Mary University","WI",3,0.6198,681,"41499",40000,36900,"19750",0.5547445255,0.4415584416,0.5720720721,0.7548387097,0.4402,0.4588,0.7573,FALSE
"2020","Nashotah House","WI",3,,,"not reported",,,"-999",,,,,,,,FALSE
"2020","Nicolet Area Technical College","WI",3,,859,"12847",29900,24700,"5250",0.4764621969,0.3833718245,0.6086956522,0.6885245902,,,,FALSE
"2020","Northcentral Technical College","WI",3,,3346,"14134",36000,30000,"5250",0.4786913474,0.3771067416,0.6260997067,0.6820276498,,,,FALSE
"2020","Northeast Wisconsin Technical College","WI",3,,6443,"14238",35900,31000,"8251",0.4918447048,0.3706263499,0.6118560339,0.6698872786,,,,FALSE
"2020","Northland College","WI",3,0.5096,563,"47075",33700,24500,"17500",0.6728971963,0.4646464646,0.6822429907,0.8434782609,0.5823,0.5458,0.6826,FALSE
"2020","Ripon College","WI",3,0.69,787,"52216",45500,32900,"22812",0.7483443709,0.7058823529,0.7297297297,0.7868852459,0.6798,0.6871,0.7534,FALSE
"2020","Sacred Heart Seminary and School of Theology","WI",3,,,"not reported",,,"-999",,,,,,,,FALSE
"2020","Saint Norbert College","WI",3,0.7768,2099,"47602",46400,37900,"21500",0.8098591549,0.7521367521,0.7986111111,0.8322147651,0.7232,0.7333,0.8269,FALSE
"2020","Holy Family College","WI",3,0.5,270,"40951",37600,35500,"13500",0.5652173913,0.4712643678,0.6024096386,0.7027027027,0.4792,0.4507,0.5586,FALSE
"2020","State College of Beauty Culture Inc","WI",3,,48,"not reported",17400,17200,"6333",0.578313253,0.4423076923,,,,,,FALSE
"2020","Southwest Wisconsin Technical College","WI",3,,1459,"14348",33200,28600,"5824",0.5991516437,0.4883227176,0.6821917808,0.8037383178,,,,FALSE
"2020","Viterbo University","WI",3,0.758,1709,"38690",43200,38100,"20500",0.6976942784,0.5868945869,0.7084233261,0.7927170868,0.5816,0.502,0.7391,FALSE
"2020","Chippewa Valley Technical College","WI",3,,4294,"14429",35700,31900,"7878",0.5062804409,0.3948284436,0.6167056987,0.6420361248,,,,FALSE
"2020","Waukesha County Technical College","WI",3,,4866,"13590",35900,31200,"9449",0.4113424264,0.3011363636,0.5186206897,0.6142557652,,,,FALSE
"2020","Western Technical College","WI",3,,3819,"13449",34900,30300,"7469",0.504120387,0.3797019163,0.6109865471,0.6673469388,,,,FALSE
"2020","University of Wisconsin-Whitewater","WI",3,0.7578,11045,"17576",42600,35900,"18250",0.7033952594,0.5748560461,0.7092426187,0.7633221315,0.5974,0.6047,0.8009,FALSE
"2020","Wisconsin Indianhead Technical College","WI",3,,2460,"14783",32500,29500,"6114",0.5923627685,0.4927288281,0.7037593985,0.754789272,,,,FALSE
"2020","Wisconsin School of Professional Psychology","WI",3,,,"not reported",,,"-999",,,,,,,,FALSE
"2020","University of Wisconsin-Eau Claire","WI",3,0.7796,10485,"19581",46200,38500,"15063",0.7635135135,0.7005524862,0.7676490747,0.7899377593,0.6667,0.6743,0.8158,FALSE
"2020","University of Wisconsin-Green Bay","WI",3,0.7858,6576,"18408",40800,34800,"13000",0.6771576898,0.5601336303,0.6991452991,0.7554240631,0.5167,0.493,0.7184,FALSE
"2020","University of Wisconsin-La Crosse","WI",3,0.7065,9517,"17213",48000,38300,"17500",0.7965641953,0.7307692308,0.7987191217,0.8179068361,0.7064,0.6945,0.847,FALSE
"2020","Wisconsin Lutheran College","WI",3,0.8039,1037,"41162",41300,37100,"19208",0.7276785714,0.5108695652,0.7388888889,0.8295454545,0.6461,0.6206,0.7874,FALSE
"2020","University of Wisconsin-Oshkosh","WI",3,0.7084,10749,"18612",42700,36500,"16750",0.7078300708,0.5803722504,0.7136363636,0.7833333333,0.5285,0.5497,0.7738,FALSE
"2020","University of Wisconsin-Parkside","WI",3,0.6712,3978,"16329",39900,30000,"14000",0.5388286334,0.420023015,0.5652173913,0.6585714286,0.3603,0.3215,0.7184,FALSE
"2020","Herzing University-Madison","WI",3,1,1558,"28472",37800,27900,"12695",0.3041105434,0.2450605481,0.4267029973,0.5948103792,0.2408,0.3258,0.3611,FALSE
